"filename", "language", "C++", "CMake", "YAML", "Markdown", "Dart", "Swift", "HTML", "JSON", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\refueling\refueling_model.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 5, 85
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\reminder\reminder_model.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\route\route_model.dart", "Dart", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 96
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\service\service_model.dart", "Dart", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 5, 106
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\timeline_entry.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 6, 11, 76
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\vehicle\user_vehicle_model.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\vehicle\vehicle_model.dart", "Dart", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 17, 140
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_controller.dart", "Dart", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 36, 211
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_view.dart", "Dart", 0, 0, 0, 0, 579, 0, 0, 0, 0, 0, 0, 17, 7, 603
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\type\expense_type_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\type\expense_type_controller.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 23, 115
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\type\expense_type_view.dart", "Dart", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 35, 4, 209
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\update\update_expense_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\update\update_expense_controller.dart", "Dart", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 4, 40, 243
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\update\update_expense_view.dart", "Dart", 0, 0, 0, 0, 600, 0, 0, 0, 0, 0, 0, 1, 8, 609
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\filter\home_filter_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\filter\home_filter_controller.dart", "Dart", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 3, 10, 99
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\filter\home_filter_view.dart", "Dart", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 0, 18, 14, 376
